"Category","FileName","OriginalRelativePath","ClassifiedRelativePath"
"01_学生版-讲义","10-1数列：放缩-讲义.pdf","10-1数列：放缩-讲义.pdf","01_学生版-讲义\10-1数列：放缩-讲义.pdf"
"01_学生版-讲义","10-2数列：递推-讲义.pdf","10-2数列：递推-讲义.pdf","01_学生版-讲义\10-2数列：递推-讲义.pdf"
"01_学生版-讲义","10-3数列：特征根-讲义.pdf","10-3数列：特征根-讲义.pdf","01_学生版-讲义\10-3数列：特征根-讲义.pdf"
"01_学生版-讲义","10-4数列：不动点-讲义.pdf","10-4数列：不动点-讲义.pdf","01_学生版-讲义\10-4数列：不动点-讲义.pdf"
"01_学生版-讲义","10-5数列：综合应用-讲义.pdf","10-5数列：综合应用-讲义.pdf","01_学生版-讲义\10-5数列：综合应用-讲义.pdf"
"01_学生版-讲义","11-1复数-讲义.pdf","11-1复数-讲义.pdf","01_学生版-讲义\11-1复数-讲义.pdf"
"01_学生版-讲义","1-1基本不等式-讲义.pdf","1-1基本不等式-讲义.pdf","01_学生版-讲义\1-1基本不等式-讲义.pdf"
"01_学生版-讲义","12-1直线和圆：特殊的圆-讲义.pdf","12-1直线和圆：特殊的圆-讲义.pdf","01_学生版-讲义\12-1直线和圆：特殊的圆-讲义.pdf"
"01_学生版-讲义","12-2直线和圆：数形结合-讲义.pdf","12-2直线和圆：数形结合-讲义.pdf","01_学生版-讲义\12-2直线和圆：数形结合-讲义.pdf"
"01_学生版-讲义","12-3直线和圆：直线系和圆系-讲义.pdf","12-3直线和圆：直线系和圆系-讲义.pdf","01_学生版-讲义\12-3直线和圆：直线系和圆系-讲义.pdf"
"01_学生版-讲义","12-4直线和圆：综合应用-讲义.pdf","12-4直线和圆：综合应用-讲义.pdf","01_学生版-讲义\12-4直线和圆：综合应用-讲义.pdf"
"01_学生版-讲义","13-1圆锥曲线（难点）：定值定点问题-讲义.pdf","13-1圆锥曲线（难点）：定值定点问题-讲义.pdf","01_学生版-讲义\13-1圆锥曲线（难点）：定值定点问题-讲义.pdf"
"01_学生版-讲义","13-2圆锥曲线（难点）：最值问题-讲义.pdf","13-2圆锥曲线（难点）：最值问题-讲义.pdf","01_学生版-讲义\13-2圆锥曲线（难点）：最值问题-讲义.pdf"
"01_学生版-讲义","13-3圆锥曲线（难点）：仿射变换-讲义.pdf","13-3圆锥曲线（难点）：仿射变换-讲义.pdf","01_学生版-讲义\13-3圆锥曲线（难点）：仿射变换-讲义.pdf"
"01_学生版-讲义","13-4圆锥曲线（难点）：极点极线-讲义.pdf","13-4圆锥曲线（难点）：极点极线-讲义.pdf","01_学生版-讲义\13-4圆锥曲线（难点）：极点极线-讲义.pdf"
"01_学生版-讲义","13-5圆锥曲线（难点）：非对称-讲义.pdf","13-5圆锥曲线（难点）：非对称-讲义.pdf","01_学生版-讲义\13-5圆锥曲线（难点）：非对称-讲义.pdf"
"01_学生版-讲义","13-6圆锥曲线（难点）：综合应用-讲义.pdf","13-6圆锥曲线（难点）：综合应用-讲义.pdf","01_学生版-讲义\13-6圆锥曲线（难点）：综合应用-讲义.pdf"
